39 54.5 105 7.0 5673
41 12.7 104 46.4 35000
42 33.5 103 18.7 35000
42 33.5 103 18.7 45000
44	2.9	101	35.9	45000
44	2.9	101	35.9	30000
42	33.5	103	18.7	30000
42	33.5	103	18.7	20000
41	12.7	104	46.4	20000
41	12.7	104	46.4	15000
40	9.3	103	10.8	15000
40	9.3	103	10.8	10000
40	30.2	104	33.2	10000
39	51.1	104	59.1	8000
39	54.5	105	7	5700
39	57.7	105	14.4	8000
39	48.2	105	12.8	8000
39	51.1	104	59.1	8000
39	54.5	105	7	5700
39	57.7	105	14.4	8000
38	39	104	42.1	8000
38	48.3	104	42	6300
38	59.1	104	42.2	8000
38	52.5	104	24.6	8000
38	39	104	42.1	8000
38	48.3	104	42	6300
38	59.1	104	42.2	8000
38	49.1	103	37.3	10000
40	9.3	103	10.8	10000
40	30.2	104	33.2	10000
39	54.5	105	7	5673
0
