ABQ,-106.816314,35.043796,Albuquerque,9.91833333
ACH,-105.039929,35.111706,Anton Chico,9.15166666
ADH,-96.670083,34.802556,Ada,4.55
ADM,-97.168325,34.211569,Ardmore,4.87166666
AIA,-102.804444,42.055639,Alliance,8.57
AKO,-103.17974,40.155578,Akron,8.65166666
ALS,-105.815536,37.349158,Alamosa,9.75
ANW,-99.989681,42.569111,Ainsworth,6.74833333
ANY,-98.170733,37.158911,Anthony,5.48833333
BFF,-103.482022,41.894161,Scottsbluff,8.96666666
BFV,-99.206164,35.236942,Burns Flat,6.10666666
BGD,-101.382153,35.807072,Borger,7.36666666
BIE,-96.754636,40.301417,Beatrice,4.46666666
BJC,-105.138988,39.913041,Jeffco,9.7
BQZ,-106.8722,40.46375,Robert,10.63666666
BRK,-104.633467,38.944506,Black Forest,9.33666666
BVO,-96.018318,36.834248,Bartlesville,4.06833333
BVR,-103.928044,39.765833,Byers,9.04
CDR,-103.312147,42.558772,Chadron,8.91833333
CDS,-100.289033,34.369064,Childress,6.70333333
CIM,-104.872,36.491397,Cimarron,9.21166666
CNX,-105.678005,34.367015,Corona,9.35666666
CUZ,-99.689061,41.483978,Custer County,6.52333333
CYS,-104.772911,41.210953,Cheyenne,9.64166666
CZI,-106.435722,43.999715,Crazy Woman,10.88833333
DBL,-106.89468,39.439345,Red Table,10.51
DDC,-100.005633,37.850575,Dodge City,6.64833333
DDY,-106.277024,43.090856,Muddy Mountain,10.68
DEN,-104.66075,39.8125,Denver,9.43833333
DHT,-102.544639,36.091458,Dalhart,8.01
DUC,-97.916811,34.384475,Duncan,5.32833333
DVV,-104.624333,39.894694,Mile High,9.42833333
EAR,-99.005114,40.725597,Kearney,6.05
ECS,-104.307806,43.881172,Newcastle,9.64166666
EMP,-96.138117,38.291144,Emporia,4.09833333
END,-97.918339,36.344967,Vance,5.32833333
FCS,-104.756918,38.680663,Butts,9.375
FQF,-104.620972,39.690139,Falcon,9.405
FRI,-96.861017,38.970228,Fort Riley,4.585
FSD,-96.781163,43.64953,Sioux Falls,4.34166666
FTI,-105.135589,35.657571,Fort Union,9.25
GAG,-99.880122,36.343733,Gage,6.53166666
GCK,-100.725064,37.919053,Garden City,7.03
GLD,-101.692306,39.387861,Goodland,7.73166666
GLL,-104.553013,40.503869,Gill,9.45
GRI,-98.314778,40.984028,Grand Island,5.56833333
HBR,-99.063383,34.866589,Hobart,6.01666666
HCT,-100.923575,40.454072,Hayes Center,7.30833333
HGO,-103.621389,38.8175,Hugo,8.79
HLC,-100.22585,39.258747,Hill City,6.82666666
HSI,-98.429617,40.604542,Hastings,5.65166666
HUT,-97.934147,37.996919,Hutchinson,5.33166666
HYS,-99.276769,38.84765,Hays,6.21166666
ICT,-97.583831,37.745256,Wichita,5.10166666
IFI,-98.003917,35.805267,Kingfisher,5.38166666
IIP,-105.226231,42.676081,Hipsher,10.05166666
IRW,-97.609233,35.358589,Will Rogers,5.13666666
ISD,-99.761392,43.487914,Winner,6.6
LAA,-102.687533,38.197091,Lamar,8.23166666
LAR,-105.720936,41.337864,Laramie,10.165
LAW,-98.413081,34.496189,Lawton,5.62666666
LBF,-100.747158,41.048625,North Platte,7.21666666
LBL,-100.971197,37.044394,Liberal,7.13833333
LNK,-96.742017,40.923781,Lincoln,4.435
LTS,-99.271164,34.662925,Altus,6.13333333
MBW,-106.004283,41.845522,Medicine Bow,10.375
MCK,-100.594225,40.203797,Mc Cook,7.09
MHE,-98.037564,43.777022,Mitchell,5.315
MHK,-96.668722,39.145442,Manhattan,4.44333333
OBH,-98.353594,41.375736,Wolbach,5.59333333
ODG,-97.788111,36.373784,Woodring,5.245
OFK,-97.434578,41.987925,Norfolk,4.91166666
OLU,-97.340819,41.450039,Columbus,4.85833333
ONL,-98.686922,42.470503,O'Neill,5.82166666
ONM,-106.820458,34.338888,Socorro,9.83333333
OTO,-105.936043,35.072243,Otto,9.54666666
OZB,-100.003733,40.870425,Cozad,6.725
PER,-97.160125,36.746507,Pioneer,4.835
PNH,-101.699022,35.235072,Panhandle,7.50833333
PUB,-104.429442,38.294252,Pueblo,9.17
PVW,-101.790186,34.086192,Plainview,7.49166666
PWA,-97.647181,35.532945,Wiley Post,5.16
PWE,-96.206281,40.200353,Pawnee City,4.07
RAP,-103.012339,43.976033,Rapid City,8.83833333
RLG,-106.442488,40.002642,Kremmling,10.36666666
SAE,-101.776031,41.119094,Searle,7.875
SAF,-106.064947,35.540542,Santa Fe,9.65666666
SCB,-96.628611,41.605278,Scribner,4.32333333
SLN,-97.621361,38.925139,Salina,5.11166666
SNY,-102.983017,41.096667,Sidney,8.60833333
SUX,-96.323644,42.344517,Sioux City,4.05333333
SWO,-97.08126,36.22427,Stillwater,4.79
SXW,-106.991129,39.629485,Snow,10.58333333
SYO,-99.635348,35.345161,Sayre,6.36166666
TAS,-105.90632,36.608769,Taos,9.70666666
TBE,-103.600056,37.258658,Tobe,8.64833333
TCC,-103.598518,35.182139,Tucumcari,8.47666666
TDD,-100.719033,41.981661,Thedford,7.23
TKO,-98.260036,39.806408,Mankato,5.54
TQE,-96.178572,41.7596,Tekamah,3.97333333
TXC,-103.214939,39.698318,Thurman,8.63666666
TXO,-102.839672,34.495117,Texico,8.05
YKN,-97.384978,42.918375,Yankton,4.84333333
