WWW 94 92 90 88 86 84 82 80 78 76 74 72 70 68 66 64 62 60 58 56 54 52 50
51000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.1 21.6 19.8 18.4 17.1
-56.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1828 1693 1585 1491 1406
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 160 143 130 120 112
49000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 23.3 21.4 19.9 18.6 17.5 16.5 15.5 14.7
-56.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1927 1807 1705 1614 1531 1454 1380 1310
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 153 140 130 121 113 107 100 95
47000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.5 22.6 21.1 19.9 18.8 17.8 16.8 16.0 15.2 14.4 13.7 13.0
-56.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2143 2014 1908 1813 1726 1645 1569 1497 1428 1362 1297 1235
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 160 146 137 128 121 114 108 102 97 92 87 82
45000 TIME -1 -1 -1 -1 -1 -1 27.8 25.3 23.6 22.2 21.0 19.9 18.9 18.0 17.2 16.4 15.6 14.9 14.2 13.6 12.9 12.3 11.7
-56.5 FUEL -1 -1 -1 -1 -1 -1 2517 2345 2213 2102 2004 1914 1830 1752 1677 1606 1537 1472 1408 1346 1286 1227 1170
XXX DIST -1 -1 -1 -1 -1 -1 181 164 152 142 134 127 120 114 109 104 99 94 89 85 81 77 73
43000 TIME -1 -1 28.5 26.2 24.6 23.2 22.0 21.0 20.0 19.1 18.2 17.5 16.7 16.0 15.3 14.7 14.0 13.4 12.9 12.3 11.7 11.2 10.7
-56.5 FUEL -1 -1 2707 2540 2407 2293 2192 2098 2011 1929 1851 1777 1707 1640 1574 1511 1449 1389 1331 1275 1219 1165 1112
XXX DIST -1 -1 183 168 156 147 139 132 126 120 114 109 105 100 96 91 87 83 80 76 73 69 66
41000 TIME 25.2 24.0 22.8 21.8 20.9 20.0 19.2 18.4 17.7 17.0 16.3 15.6 15.0 14.4 13.9 13.3 12.7 12.2 11.7 11.2 10.7 10.2 9.8
-56.5 FUEL 2578 2465 2363 2268 2180 2096 2017 1941 1868 1798 1731 1666 1603 1543 1483 1425 1369 1314 1261 1208 1157 1106 1057
XXX DIST 159 150 143 136 130 124 119 114 109 105 100 96 92 89 85 81 78 75 72 68 65 62 59
39000 TIME 21.5 20.7 19.9 19.2 18.4 17.8 17.1 16.5 15.9 15.3 14.7 14.2 13.6 13.1 12.6 12.1 11.6 11.2 10.7 10.3 9.8 9.4 9.0
-56.5 FUEL 2330 2248 2168 2092 2019 1948 1880 1814 1749 1686 1626 1567 1510 1455 1400 1347 1295 1244 1195 1146 1098 1050 1004
XXX DIST 132 127 122 117 113 108 104 100 96 93 89 86 82 79 76 73 70 67 64 62 59 56 54
37000 TIME 19.2 18.5 17.9 17.3 16.7 16.1 15.5 15.0 14.4 13.9 13.4 12.9 12.5 12.0 11.6 11.1 10.7 10.3 9.9 9.5 9.1 8.7 8.3
-56.5 FUEL 2159 2088 2020 1953 1888 1825 1763 1703 1644 1587 1531 1477 1425 1374 1323 1274 1226 1178 1132 1086 1041 997 953
XXX DIST 115 111 107 103 100 96 93 89 86 83 80 77 74 71 69 66 63 61 58 56 53 51 49
35000 TIME 17.5 16.9 16.3 15.8 15.3 14.8 14.3 13.8 13.3 12.8 12.4 11.9 11.5 11.1 10.7 10.3 9.9 9.5 9.1 8.8 8.4 8.0 7.7
-54.3 FUEL 2024 1960 1898 1837 1778 1720 1663 1607 1553 1500 1448 1398 1350 1302 1255 1208 1163 1119 1075 1032 989 947 906
XXX DIST 103 100 96 93 90 87 84 81 78 75 72 70 67 65 62 60 58 55 53 51 49 47 45
33000 TIME 15.9 15.4 14.9 14.5 14.0 13.5 13.1 12.6 12.2 11.8 11.4 11.0 10.6 10.2 9.9 9.5 9.1 8.8 8.4 8.1 7.8 7.4 7.1
-50.4 FUEL 1892 1834 1778 1722 1668 1614 1562 1511 1461 1412 1364 1317 1272 1228 1184 1140 1098 1056 1015 975 935 896 857
XXX DIST 92 89 86 83 81 78 75 73 70 68 65 63 61 59 56 54 52 50 48 46 44 42 40
31000 TIME 14.2 13.8 13.4 13.0 12.5 12.1 11.8 11.4 11.0 10.6 10.3 9.9 9.6 9.2 8.9 8.6 8.3 8.0 7.6 7.3 7.0 6.7 6.5
-46.4 FUEL 1740 1688 1637 1587 1538 1490 1443 1397 1351 1306 1263 1220 1179 1138 1098 1058 1019 981 943 906 869 833 797
XXX DIST 80 78 75 73 70 68 66 64 62 59 57 55 53 52 50 48 46 44 43 41 39 37 36
25000 TIME 10.2 9.9 9.6 9.3 9.1 8.8 8.5 8.3 8.0 7.7 7.5 7.2 7.0 6.8 6.5 6.3 6.1 5.8 5.6 5.4 5.2 5.0 4.8
-34.5 FUEL 1347 1308 1271 1234 1197 1162 1126 1092 1057 1024 991 958 927 896 865 834 804 774 745 717 688 660 632
XXX DIST 54 52 50 49 47 46 45 43 42 40 39 38 37 35 34 33 32 30 29 28 27 26 25
20000 TIME 7.6 7.4 7.2 7.0 6.8 6.6 6.4 6.2 6.0 5.8 5.6 5.4 5.3 5.1 4.9 4.7 4.6 4.4 4.2 4.1 3.9 3.8 3.6
-24.6 FUEL 1058 1029 1000 972 944 917 889 863 836 810 785 760 735 710 686 662 639 615 593 570 547 525 503
XXX DIST 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 23 22 21 20 19 18 18
15000 TIME 5.3 5.2 5.0 4.9 4.8 4.6 4.5 4.4 4.2 4.1 4.0 3.8 3.7 3.6 3.5 3.4 3.2 3.1 3.0 2.9 2.8 2.7 2.5
-14.7 FUEL 786 765 744 723 703 683 663 643 624 605 586 568 549 531 513 496 478 461 444 427 410 394 377
XXX DIST 25 24 24 23 22 22 21 20 20 19 19 18 17 17 16 16 15 15 14 13 13 12 12
10000 TIME 3.2 3.2 3.1 3.0 2.9 2.8 2.7 2.7 2.6 2.5 2.4 2.4 2.3 2.2 2.1 2.1 2.0 1.9 1.8 1.8 1.7 1.6 1.6
-4.8 FUEL 512 498 485 472 459 446 433 421 408 396 384 372 360 348 337 325 314 303 292 281 270 259 248
XXX DIST 14 14 14 13 13 13 12 12 12 11 11 10 10 10 9 9 9 8 8 8 7 7 7
5000 TIME 1.5 1.5 1.4 1.4 1.4 1.3 1.3 1.3 1.2 1.2 1.1 1.1 1.1 1.0 1.0 1.0 0.9 0.9 0.9 0.8 0.8 0.8 0.7
5.1 FUEL 256 249 242 236 230 223 217 211 205 198 192 186 181 175 169 163 158 152 147 141 136 130 125
XXX DIST 7 6 6 6 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3
