WWW 94 92 90 88 86 84 82 80 78 76 74 72 70 68 66 64 62 60 58 56 54 52 50
51000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 23.6 21.2 19.5 18.0 16.8
-46.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1846 1710 1601 1506 1421
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 160 143 131 121 112
49000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22.9 21.0 19.6 18.3 17.2 16.2 15.3 14.4
-46.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1947 1825 1722 1631 1547 1469 1395 1324
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 154 141 130 122 114 107 101 95
47000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.1 22.2 20.8 19.5 18.5 17.5 16.6 15.7 14.9 14.2 13.5 12.8
-46.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2165 2035 1928 1832 1744 1662 1586 1513 1443 1376 1311 1248
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 160 147 137 129 121 114 108 103 97 92 87 83
45000 TIME -1 -1 -1 -1 -1 -1 27.4 24.9 23.2 21.8 20.6 19.6 18.6 17.7 16.9 16.1 15.4 14.7 14.0 13.4 12.7 12.1 11.5
-46.5 FUEL -1 -1 -1 -1 -1 -1 2542 2368 2236 2124 2025 1934 1850 1771 1695 1623 1554 1487 1423 1361 1300 1241 1183
XXX DIST -1 -1 -1 -1 -1 -1 182 164 152 143 135 127 121 115 109 104 99 94 90 86 81 77 74
43000 TIME -1 -1 28.0 25.8 24.2 22.9 21.7 20.6 19.7 18.8 18.0 17.2 16.5 15.8 15.1 14.5 13.8 13.3 12.7 12.1 11.6 11.0 10.5
-46.5 FUEL -1 -1 2735 2567 2433 2318 2215 2121 2033 1950 1871 1797 1726 1658 1591 1527 1465 1405 1346 1289 1233 1178 1124
XXX DIST -1 -1 184 169 157 148 140 133 127 121 115 110 105 101 96 92 88 84 80 77 73 70 66
41000 TIME 24.9 23.6 22.5 21.5 20.6 19.7 18.9 18.1 17.4 16.7 16.1 15.4 14.8 14.2 13.7 13.1 12.6 12.1 11.5 11.1 10.6 10.1 9.6
-46.5 FUEL 2606 2493 2389 2293 2204 2120 2040 1963 1889 1818 1750 1685 1622 1560 1500 1442 1385 1329 1275 1222 1170 1119 1069
XXX DIST 160 151 144 137 131 125 120 115 110 105 101 97 93 89 86 82 79 75 72 69 66 63 60
39000 TIME 21.2 20.4 19.6 18.9 18.2 17.5 16.9 16.3 15.7 15.1 14.5 14.0 13.5 12.9 12.4 12.0 11.5 11.0 10.6 10.1 9.7 9.3 8.9
-46.5 FUEL 2358 2274 2193 2116 2042 1971 1902 1835 1769 1706 1644 1585 1528 1472 1417 1363 1310 1259 1208 1159 1110 1062 1015
XXX DIST 133 128 123 118 113 109 105 101 97 93 90 86 83 80 77 74 71 68 65 62 59 57 54
37000 TIME 18.9 18.3 17.7 17.0 16.5 15.9 15.3 14.8 14.3 13.8 13.3 12.8 12.3 11.9 11.4 11.0 10.6 10.1 9.7 9.3 8.9 8.6 8.2
-46.5 FUEL 2185 2114 2044 1976 1911 1847 1784 1724 1664 1606 1550 1495 1442 1390 1339 1289 1240 1192 1146 1099 1054 1009 964
XXX DIST 116 112 108 104 101 97 94 90 87 84 81 78 75 72 69 66 64 61 59 56 54 51 49
35000 TIME 17.3 16.7 16.2 15.6 15.1 14.6 14.1 13.6 13.1 12.7 12.2 11.8 11.4 11.0 10.6 10.2 9.8 9.4 9.0 8.7 8.3 8.0 7.6
-44.3 FUEL 2049 1984 1921 1860 1800 1741 1684 1627 1572 1519 1466 1415 1366 1318 1270 1223 1177 1132 1088 1045 1002 959 917
XXX DIST 104 101 97 94 91 88 84 82 79 76 73 70 68 65 63 61 58 56 54 51 49 47 45
33000 TIME 15.8 15.3 14.8 14.3 13.8 13.4 12.9 12.5 12.1 11.7 11.3 10.9 10.5 10.1 9.8 9.4 9.0 8.7 8.4 8.0 7.7 7.4 7.0
-40.4 FUEL 1917 1858 1800 1744 1689 1635 1582 1530 1479 1429 1381 1334 1288 1243 1198 1155 1112 1070 1028 987 947 907 868
XXX DIST 93 90 87 84 81 79 76 73 71 68 66 64 61 59 57 55 53 51 49 47 45 43 41
31000 TIME 14.1 13.6 13.2 12.8 12.4 12.0 11.6 11.2 10.9 10.5 10.2 9.8 9.5 9.1 8.8 8.5 8.2 7.9 7.6 7.3 7.0 6.7 6.4
-36.4 FUEL 1762 1709 1658 1607 1557 1509 1461 1414 1368 1322 1278 1235 1193 1152 1111 1071 1032 993 955 917 880 843 807
XXX DIST 81 78 76 73 71 69 67 64 62 60 58 56 54 52 50 48 46 45 43 41 39 38 36
25000 TIME 10.1 9.8 9.5 9.2 9.0 8.7 8.4 8.2 7.9 7.7 7.4 7.2 6.9 6.7 6.5 6.2 6.0 5.8 5.6 5.3 5.1 4.9 4.7
-24.5 FUEL 1362 1324 1285 1248 1211 1175 1139 1104 1069 1035 1002 969 937 906 874 843 813 783 754 725 696 667 639
XXX DIST 54 52 51 49 48 46 45 44 42 41 39 38 37 36 34 33 32 31 29 28 27 26 25
20000 TIME 7.5 7.3 7.1 6.9 6.7 6.5 6.3 6.1 5.9 5.7 5.6 5.4 5.2 5.0 4.9 4.7 4.5 4.4 4.2 4.0 3.9 3.7 3.6
-14.6 FUEL 1070 1041 1011 983 954 927 899 872 845 819 793 768 743 718 694 669 646 622 599 576 553 531 509
XXX DIST 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 24 23 22 21 20 19 19 18
15000 TIME 5.3 5.1 5.0 4.8 4.7 4.6 4.4 4.3 4.2 4.0 3.9 3.8 3.7 3.5 3.4 3.3 3.2 3.1 3.0 2.9 2.7 2.6 2.5
-4.7 FUEL 794 773 752 731 710 690 670 650 631 611 592 574 555 537 519 501 483 466 449 432 415 398 381
XXX DIST 25 25 24 23 22 22 21 21 20 19 19 18 17 17 16 16 15 15 14 13 13 12 12
10000 TIME 3.2 3.1 3.0 3.0 2.9 2.8 2.7 2.6 2.6 2.5 2.4 2.3 2.3 2.2 2.1 2.0 2.0 1.9 1.8 1.8 1.7 1.6 1.6
5.2 FUEL 517 503 490 476 463 450 437 425 412 400 387 375 363 351 340 328 317 305 294 283 272 261 250
XXX DIST 15 14 14 13 13 13 12 12 12 11 11 11 10 10 9 9 9 9 8 8 8 7 7
5000 TIME 1.5 1.5 1.4 1.4 1.4 1.3 1.3 1.2 1.2 1.2 1.1 1.1 1.1 1.0 1.0 1.0 0.9 0.9 0.9 0.8 0.8 0.8 0.7
15.1 FUEL 258 251 245 238 232 225 219 213 206 200 194 188 182 176 171 165 159 153 148 142 137 131 126
XXX DIST 7 6 6 6 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3
