-76.5 FUEL 2110 2041 1974 1908 1845 1783 1723 1664 1607 1551 1496 1444 1393 1342 1293 1245 1198 1151 1106 1062 1017 974 931
XXX DIST 114 110 106 102 98 95 91 88 85 82 79 76 73 70 68 65 62 60 57 55 53 50 48
35000 TIME 17.9 17.3 16.8 16.2 15.7 15.2 14.6 14.1 13.6 13.2 12.7 12.3 11.8 11.4 11.0 10.6 10.2 9.8 9.4 9.0 8.6 8.3 7.9
-74.3 FUEL 1975 1913 1853 1793 1735 1679 1624 1569 1516 1464 1414 1365 1318 1271 1225 1180 1135 1092 1050 1008 966 925 885
XXX DIST 101 98 95 91 88 85 82 79 77 74 71 69 66 64 61 59 57 54 52 50 48 46 44
33000 TIME 16.3 15.8 15.3 14.8 14.3 13.9 13.4 13.0 12.5 12.1 11.7 11.3 10.9 10.5 10.1 9.7 9.4 9.0 8.7 8.3 8.0 7.6 7.3
-70.4 FUEL 1846 1790 1734 1680 1627 1575 1524 1475 1426 1378 1331 1286 1241 1198 1155 1113 1071 1031 991 952 913 874 837
XXX DIST 90 87 85 82 79 77 74 71 69 67 64 62 60 58 55 53 51 49 47 45 43 42 40
31000 TIME 14.6 14.1 13.7 13.3 12.9 12.5 12.1 11.7 11.3 10.9 10.5 10.2 9.8 9.5 9.1 8.8 8.5 8.2 7.8 7.5 7.2 6.9 6.6
-66.4 FUEL 1699 1648 1599 1550 1502 1455 1409 1364 1319 1276 1233 1192 1151 1111 1072 1033 995 958 921 885 849 814 779
XXX DIST 79 76 74 72 69 67 65 63 61 58 56 54 53 51 49 47 45 44 42 40 38 37 35
25000 TIME 10.5 10.2 9.9 9.6 9.3 9.0 8.7 8.5 8.2 7.9 7.7 7.4 7.2 6.9 6.7 6.5 6.2 6.0 5.8 5.6 5.3 5.1 4.9
-54.5 FUEL 1317 1280 1243 1206 1171 1136 1101 1068 1034 1001 969 937 906 876 846 816 786 757 729 701 673 645 618
XXX DIST 53 51 50 48 47 45 44 43 41 40 39 37 36 35 34 32 31 30 29 28 26 25 24
20000 TIME 7.8 7.6 7.4 7.1 6.9 6.7 6.5 6.3 6.1 6.0 5.8 5.6 5.4 5.2 5.0 4.9 4.7 4.5 4.3 4.2 4.0 3.9 3.7
-44.6 FUEL 1036 1007 979 951 924 897 871 845 819 793 768 744 719 695 672 648 625 603 580 558 536 514 493
XXX DIST 37 36 35 34 33 32 31 30 29 28 27 27 26 25 24 23 22 21 21 20 19 18 17
15000 TIME 5.5 5.3 5.2 5.0 4.9 4.7 4.6 4.5 4.3 4.2 4.1 3.9 3.8 3.7 3.6 3.4 3.3 3.2 3.1 3.0 2.8 2.7 2.6
-34.7 FUEL 770 749 729 709 689 669 650 630 612 593 574 556 538 521 503 486 469 452 435 419 402 386 370
XXX DIST 25 24 23 23 22 21 21 20 20 19 18 18 17 17 16 15 15 14 14 13 13 12 12
10000 TIME 3.3 3.2 3.2 3.1 3.0 2.9 2.8 2.7 2.7 2.6 2.5 2.4 2.3 2.3 2.2 2.1 2.0 2.0 1.9 1.8 1.8 1.7 1.6
-24.8 FUEL 503 489 476 463 450 438 425 413 401 389 377 365 353 342 331 319 308 297 286 275 265 254 244
XXX DIST 14 14 14 13 13 12 12 12 11 11 11 10 10 10 9 9 9 8 8 8 7 7 7
5000 TIME 1.6 1.5 1.5 1.5 1.4 1.4 1.3 1.3 1.3 1.2 1.2 1.1 1.1 1.1 1.0 1.0 1.0 0.9 0.9 0.9 0.8 0.8 0.8
-14.9 FUEL 251 245 238 232 226 219 213 207 201 195 189 183 177 172 166 161 155 149 144 139 133 128 123
XXX DIST 6 6 6 6 6 6 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3
