WWW 94 92 90 88 86 84 82 80 78 76 74 72 70 68 66 64 62 60 58 56 54 52 50
51000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 25.2 22.5 20.6 19.1 17.8
-76.5 DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1799 1664 1557 1464 1381
FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 160 142 130 120 111
49000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.3 22.3 20.7 19.3 18.2 17.1 16.1 15.2
-76.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1894 1774 1674 1585 1503 1426 1354 1285
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 153 139 129 120 113 106 100 94
47000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 25.4 23.4 21.9 20.6 19.5 18.4 17.5 16.6 15.7 14.9 14.2 13.5
-76.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2105 1977 1872 1778 1693 1613 1539 1468 1400 1335 1272 1211
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 159 146 136 127 120 113 107 101 96 91 86 82
45000 TIME -1 -1 -1 -1 -1 -1 28.9 26.3 24.5 23.0 21.7 20.6 19.6 18.6 17.8 16.9 16.2 15.4 14.7 14.0 13.4 12.7 12.1
-76.5 FUEL -1 -1 -1 -1 -1 -1 2473 2301 2171 2061 1964 1876 1794 1717 1644 1574 1507 1442 1380 1319 1260 1203 1147
XXX DIST -1 -1 -1 -1 -1 -1 180 163 150 141 133 126 119 113 108 103 98 93 89 84 80 76 72
43000 TIME -1 -1 29.5 27.2 25.4 24.0 22.8 21.7 20.7 19.7 18.9 18.0 17.3 16.5 15.8 15.2 14.5 13.9 13.3 12.7 12.1 11.6 11.0
-76.5 FUEL -1 -1 2657 2491 2360 2248 2148 2056 1970 1889 1813 1741 1672 1606 1542 1479 1419 1361 1304 1248 1194 1141 1089
XXX DIST -1 -1 182 166 155 146 138 131 125 119 113 108 103 99 95 90 86 83 79 75 72 68 65
41000 TIME 26.1 24.8 23.6 22.5 21.5 20.6 19.8 19.0 18.2 17.5 16.8 16.1 15.5 14.9 14.3 13.7 13.2 12.6 12.1 11.6 11.1 10.6 10.1
-76.5 FUEL 2525 2415 2314 2221 2134 2052 1975 1900 1829 1760 1694 1631 1569 1510 1452 1395 1340 1286 1234 1183 1132 1083 1034
XXX DIST 157 149 141 135 128 123 118 113 108 103 99 95 91 88 84 80 77 74 71 68 64 62 59
39000 TIME 22.2 21.3 20.5 19.7 19.0 18.3 17.6 17.0 16.4 15.7 15.2 14.6 14.0 13.5 13.0 12.5 12.0 11.5 11.0 10.6 10.1 9.7 9.2
-76.5 FUEL 2280 2199 2121 2046 1975 1906 1839 1774 1711 1649 1590 1532 1477 1423 1369 1317 1266 1217 1168 1120 1073 1027 982
XXX DIST 130 125 120 116 111 107 103 99 95 91 88 85 81 78 75 72 69 66 64 61 58 56 53
37000 TIME 19.7 19.0 18.4 17.7 17.1 16.5 16.0 15.4 14.8 14.3 13.8 13.3 12.8 12.3 11.9 11.4 11.0 10.6 10.1 9.7 9.3 8.9 8.5
