WWW 94 92 90 88 86 84 82 80 78 76 74 72 70 68 66 64 62 60 58 56 54 52 50
51000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 25 22 20 19 18
-66.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1815 1680 1572 1478 1394
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 160 143 131 121 112
49000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.0 22.0 20.4 19.1 17.9 16.9 15.9 15.0
-66.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1917 1794 1692 1602 1519 1441 1368 1299
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 154 141 130 121 114 107 100 95
47000 TIME -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 25.2 23.2 21.6 20.3 19.2 18.1 17.2 16.3 15.5 14.7 13.9 13.2
-66.5 FUEL -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2134 2001 1893 1798 1711 1630 1555 1483 1415 1349 1285 1223
XXX DIST -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 161 147 137 128 121 114 108 102 97 92 87 82
45000 TIME -1 -1 -1 -1 -1 -1 28.4 25.8 24.0 22.5 21.3 20.2 19.2 18.3 17.4 16.6 15.9 15.1 14.5 13.8 13.1 12.5 11.9
-66.5 FUEL -1 -1 -1 -1 -1 -1 2494 2322 2191 2081 1983 1894 1812 1734 1660 1589 1522 1456 1393 1332 1273 1215 1158
XXX DIST -1 -1 -1 -1 -1 -1 180 163 151 141 133 126 120 114 108 103 98 93 89 85 81 77 73
43000 TIME -1 -1 29.0 26.7 25.0 23.6 22.4 21.3 20.3 19.4 18.5 17.7 17.0 16.3 15.6 14.9 14.3 13.7 13.1 12.5 11.9 11.4 10.8
-66.5 FUEL -1 -1 2681 2514 2382 2270 2169 2076 1990 1908 1831 1759 1689 1622 1557 1495 1434 1375 1317 1261 1206 1153 1100
XXX DIST -1 -1 182 167 156 147 139 132 125 119 114 109 104 99 95 91 87 83 79 76 72 69 65
41000 TIME 25.6 24.3 23.2 22.1 21.2 20.3 19.5 18.7 17.9 17.2 16.5 15.9 15.3 14.7 14.1 13.5 12.9 12.4 11.9 11.4 10.9 10.4 9.9
-66.5 FUEL 2551 2439 2338 2244 2156 2074 1995 1920 1848 1779 1712 1648 1586 1526 1467 1410 1354 1300 1247 1195 1144 1094 1045
XXX DIST 158 149 142 135 129 123 118 113 109 104 100 96 92 88 84 81 78 74 71 68 65 62 59
39000 TIME 21.8 21.0 20.2 19.4 18.7 18.0 17.4 16.7 16.1 15.5 14.9 14.4 13.8 13.3 12.8 12.3 11.8 11.3 10.9 10.4 10.0 9.5 9.1
-66.5 FUEL 2304 2222 2144 2069 1996 1926 1859 1793 1729 1667 1607 1549 1493 1438 1385 1332 1280 1230 1181 1133 1085 1039 993
XXX DIST 131 126 121 116 112 108 103 100 96 92 89 85 82 79 76 73 70 67 64 61 59 56 53
37000 TIME 19.4 18.8 18.1 17.5 16.9 16.3 15.7 15.2 14.6 14.1 13.6 13.1 12.6 12.2 11.7 11.3 10.8 10.4 10.0 9.6 9.2 8.8 8.4
-66.5 FUEL 2134 2064 1996 1930 1866 1803 1743 1683 1625 1568 1513 1460 1409 1358 1308 1259 1211 1165 1119 1074 1029 985 942
XXX DIST 114 110 106 103 99 95 92 89 85 82 79 76 74 71 68 65 63 60 58 55 53 51 48
35000 TIME 17.7 17.1 16.5 16.0 15.5 14.9 14.4 13.9 13.5 13.0 12.5 12.1 11.7 11.2 10.8 10.4 10.0 9.6 9.3 8.9 8.5 8.2 7.8
-64.3 FUEL 1999 1936 1875 1815 1756 1699 1643 1588 1534 1482 1431 1381 1333 1286 1240 1194 1149 1105 1062 1020 978 936 895
XXX DIST 102 99 95 92 89 86 83 80 77 75 72 69 67 64 62 59 57 55 53 51 48 46 44
33000 TIME 16.1 15.6 15.1 14.6 14.2 13.7 13.2 12.8 12.4 11.9 11.5 11.1 10.7 10.4 10.0 9.6 9.3 8.9 8.6 8.2 7.9 7.5 7.2
-60.4 FUEL 1869 1812 1756 1701 1647 1595 1543 1493 1443 1394 1347 1301 1257 1213 1169 1126 1084 1043 1003 963 924 885 847
XXX DIST 91 88 85 83 80 77 75 72 70 67 65 62 60 58 56 54 52 50 48 46 44 42 40
31000 TIME 14.4 14.0 13.5 13.1 12.7 12.3 11.9 11.5 11.1 10.8 10.4 10.0 9.7 9.4 9.0 8.7 8.4 8.1 7.7 7.4 7.1 6.8 6.5
-56.4 FUEL 1719 1668 1618 1568 1520 1472 1426 1380 1335 1291 1248 1206 1165 1125 1085 1046 1007 969 932 896 859 823 788
XXX DIST 79 77 75 72 70 68 65 63 61 59 57 55 53 51 49 47 46 44 42 40 39 37 35
25000 TIME 10.3 10.0 9.8 9.5 9.2 8.9 8.6 8.4 8.1 7.8 7.6 7.3 7.1 6.9 6.6 6.4 6.1 5.9 5.7 5.5 5.3 5.0 4.8
-44.5 FUEL 1332 1294 1257 1220 1184 1149 1114 1079 1046 1012 980 948 917 886 855 825 795 766 737 709 680 652 625
XXX DIST 53 52 50 49 47 46 44 43 41 40 39 38 36 35 34 33 31 30 29 28 27 26 24
20000 TIME 7.7 7.5 7.3 7.1 6.8 6.6 6.4 6.3 6.1 5.9 5.7 5.5 5.3 5.1 5.0 4.8 4.6 4.5 4.3 4.1 4.0 3.8 3.6
-34.6 FUEL 1047 1018 990 962 934 907 880 854 827 802 776 751 727 703 679 655 632 609 586 564 542 520 498
XXX DIST 37 36 35 34 33 32 31 30 29 29 28 27 26 25 24 23 22 22 21 20 19 18 17
15000 TIME 5.4 5.2 5.1 5.0 4.8 4.7 4.5 4.4 4.3 4.1 4.0 3.9 3.8 3.6 3.5 3.4 3.3 3.2 3.0 2.9 2.8 2.7 2.6
-24.7 FUEL 778 757 736 716 696 676 656 637 618 599 580 562 544 526 508 491 473 456 440 423 406 390 374
XXX DIST 25 24 24 23 22 22 21 20 20 19 18 18 17 17 16 16 15 14 14 13 13 12 12
10000 TIME 3.3 3.2 3.1 3.0 2.9 2.9 2.8 2.7 2.6 2.5 2.5 2.4 2.3 2.2 2.2 2.1 2.0 1.9 1.9 1.8 1.7 1.7 1.6
-14.8 FUEL 507 494 481 468 455 442 429 417 404 392 380 368 357 345 334 322 311 300 289 278 267 256 246
XXX DIST 14 14 14 13 13 13 12 12 11 11 11 10 10 10 9 9 9 8 8 8 7 7 7
5000 TIME 1.5 1.5 1.5 1.4 1.4 1.4 1.3 1.3 1.2 1.2 1.2 1.1 1.1 1.1 1.0 1.0 1.0 0.9 0.9 0.9 0.8 0.8 0.8
-4.9 FUEL 253 247 240 234 228 221 215 209 203 197 191 185 179 173 168 162 156 151 145 140 134 129 124
XXX DIST 7 6 6 6 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3
